#name	rank	LBI
26	1	1.61856910537
38	2	1.01144150457
21	3	0.901679739159
45	4	0.890093710034
50	5	0.868865816474
27	6	0.853253369086
12	7	0.827589887953
37	8	0.752546171719
9	9	0.745214907397
29	10	0.725422604085
48	11	0.67006095332
51	12	0.62519952418
7	13	0.608611032768
41	14	0.596486181078
47	15	0.582961977931
22	16	0.578915271237
5	17	0.573695970679
14	18	0.568632132057
16	19	0.563838375771
42	20	0.562055890936
6	21	0.559198742827
8	22	0.543698271039
36	23	0.542521718801
10	24	0.50279916956
52	25	0.495475443042
28	26	0.477600788913
4	27	0.475416677039
32	28	0.446977294026
3	29	0.436038074631
18	30	0.429685172786
20	31	0.42451409438
2	32	0.424449249637
43	33	0.403674123323
30	34	0.39998788914
34	35	0.397736542549
17	36	0.389217261544
53	37	0.387485380393
46	38	0.384683350516
19	39	0.383328827798
35	40	0.374891567007
23	41	0.357976742533
39	42	0.353801249209
33	43	0.352519598133
40	44	0.322462865846
31	45	0.302046637067
44	46	0.269044377555
24	47	0.26757353458
49	48	0.265941193884
11	49	0.26107084439
1	50	0.254988859085
25	51	0.237059034853
15	52	0.235160819615
13	53	0.129706391806
