#name	rank	LBI
22	1	2.19179199589
36	2	1.22184200846
21	3	1.08416947028
19	4	0.992711869943
12	5	0.89670810743
27	6	0.8804069127
39	7	0.86772052141
28	8	0.81426040026
9	9	0.791918942564
25	10	0.772902618648
37	11	0.69513852911
4	12	0.676266336947
32	13	0.667189204507
41	14	0.650423887691
10	15	0.627573340232
13	16	0.621734090416
5	17	0.593896760059
29	18	0.558156525181
11	19	0.537312661188
16	20	0.501000789721
30	21	0.494810784938
40	22	0.48573157977
3	23	0.481887085837
14	24	0.468201589296
34	25	0.462120044193
18	26	0.419797452542
33	27	0.415503370758
6	28	0.377628280869
17	29	0.376263258907
2	30	0.366610344443
15	31	0.356811350885
38	32	0.340633857682
42	33	0.328661577377
31	34	0.287002867604
24	35	0.27339072237
35	36	0.259125257533
26	37	0.257701040859
1	38	0.257595205782
7	39	0.245175570933
20	40	0.234114786712
23	41	0.229846890069
8	42	0.220161707913
