#name	rank	LBI
32	1	1.52516481525
35	2	1.49974295503
27	3	1.33405900751
20	4	0.853813975266
39	5	0.83471716429
12	6	0.822887073462
7	7	0.782972656484
40	8	0.630973704857
24	9	0.626372398308
10	10	0.621088322379
37	11	0.617636371351
28	12	0.612793981537
36	13	0.596812874533
30	14	0.590254437705
25	15	0.518204437647
9	16	0.508908936343
22	17	0.49252944181
13	18	0.485758511276
17	19	0.469399076484
29	20	0.44894489136
14	21	0.447507780702
18	22	0.41813702449
15	23	0.411764046032
4	24	0.403514281263
3	25	0.403187541036
5	26	0.375020465997
2	27	0.366900190684
33	28	0.343795236149
19	29	0.319103697398
8	30	0.279370315349
23	31	0.276327181624
1	32	0.263060135251
16	33	0.258036956869
42	34	0.256143035067
6	35	0.251909120671
11	36	0.247344540128
41	37	0.223142593079
31	38	0.213899708061
21	39	0.162966829374
34	40	0.149560310945
38	41	0.134594513475
26	42	0.131875950606
