#name	rank	LBI
26	1	2.25719845575
2	2	1.31907354777
14	3	1.06746621433
20	4	0.912159532896
6	5	0.856674497493
32	6	0.780114699969
24	7	0.744742655666
23	8	0.734572556393
10	9	0.652908957841
28	10	0.639257159615
18	11	0.591230314058
9	12	0.56516114911
27	13	0.524895864911
4	14	0.514762823024
16	15	0.48595965476
19	16	0.476841056125
21	17	0.445498114653
34	18	0.425269571813
11	19	0.419685969429
17	20	0.40761852974
29	21	0.406188548952
25	22	0.372660934458
7	23	0.335911752607
8	24	0.33587051421
5	25	0.287403759059
1	26	0.276367691332
22	27	0.255431379872
15	28	0.252056014616
13	29	0.24590582364
31	30	0.175026054616
12	31	0.158243742641
30	32	0.13805363367
3	33	0.1360112306
33	34	0.133220905498
