#name	rank	mean	variance
55	1	4.12835165151	0.881327778863
58	2	4.12695560212	0.883887892026
56	3	4.12644500792	0.884641562431
54	4	4.12526709802	0.878957253678
59	5	4.12522229237	0.886452303897
60	6	4.1208412691	0.88748648041
49	7	4.09807931938	0.941884002161
50	8	4.09648787313	0.944155823632
51	9	4.09475942704	0.946431849972
52	10	4.0901671961	0.947528243053
46	11	4.02659360198	0.799395948381
47	12	4.02549334295	0.801804921327
48	13	4.02435466743	0.804210088895
57	14	3.82224283047	1.07453615205
53	15	3.38008467095	0.481224491902
45	16	3.37595472434	0.48387687192
42	17	3.37488741102	0.47776006313
43	18	3.37429283447	0.479967924935
44	19	3.36571485623	0.484793094768
27	20	2.99320368406	0.804223644097
25	21	2.9901319521	0.569704615816
28	22	2.98909738216	0.808088025573
26	23	2.89600424425	0.689067632852
29	24	2.82540229098	0.362506934932
22	25	2.82426783579	0.363223900478
21	26	2.82261698281	0.358869110626
23	27	2.81821679663	0.369846431522
18	28	2.81205645978	0.358867962594
19	29	2.80415766536	0.364498170018
13	30	2.80327441201	0.361699358941
14	31	2.79868965966	0.366985312626
38	32	2.66998355478	0.48548111256
40	33	2.66912176745	0.48815345088
34	34	2.66862896317	0.482766235993
35	35	2.66640407779	0.487041809534
36	36	2.66415646648	0.491253017514
32	37	2.66329536088	0.481986184249
31	38	2.65886359337	0.484381896152
15	39	2.59160090357	1.02032469405
16	40	2.54466739981	0.801020246928
17	41	2.54415369373	0.803374908683
41	42	2.42733144451	0.838792623695
39	43	2.3608299096	0.784592485388
33	44	2.33940913255	0.573041076416
5	45	2.28478855861	0.505069409504
30	46	2.27569784876	0.593098827658
24	47	2.20437013681	0.681397653298
10	48	2.15412191101	0.861391275488
11	49	2.15330367684	0.864261314332
37	50	2.11555345087	1.17387994244
12	51	2.05804976134	1.0282991573
9	52	2.02204779472	0.667366501695
6	53	2.01916807321	0.663627254039
2	54	1.99307378116	0.772676619764
3	55	1.99296545494	0.776334097582
20	56	1.94993631155	1.19893843661
1	57	1.60303354653	0.559581984734
4	58	1.49994117744	1.1554388588
7	59	1.15210324	1.32039572087
8	60	1.14579561663	1.32279726749
